id,type,rating,dibl,dibu,song,episode,episodeID,episodeType,episodeLength,cleaned_rating,rating_numeric,dibl_copy,dibl_numeric
226,2x Spicy Noodle,3/5,2,0,Un-Break My Heart,2x Spicy Noodles Sausage,QyVYLmhG4lk,Standard,04:30,3,3.0,2/5 Mark Ruffalos,2.0
227,Lucky Charms Marshmallows,3/5,2,0,- No Song -,Lucky Charms Marshmallows Sausage,9piF9okIQZc,YouTube Comments Suggestions,01:01,3,3.0,2/5 Mark Ruffalos,2.0
228,Chicken a la King,2/5,5,0,September,Chicken a la King Sausage,KHYRo-iSZoA,Standard,02:46,2,2.0,5/5 Mark Ruffalos,5.0
229,Chicken Wings,1/5,2,1,I Swear,Chicken Wings Sausage,t24H3I68DFE,Standard,04:38,1,1.0,2/5 Mark Ruffalos,2.0
230,lil Debbie’s Cosmic Brownie,0/5,Not Done,1,- No Song -,lil Debbie’s Cosmic Brownie Sausage,qKq2wgZg2gA,YouTube Comments Suggestions,01:01,0,0.0,Not Done,
231,Tuna Noodle Casserole,1.5/5,1,1,Crazy Train,Tuna Noodle Casserole Sausage,uojFWGMPtvg,Standard,02:37,1.5,1.5,1/5 Mark Ruffalos,1.0
232,Stuffed Peppers,2.5/5,4,1,Under the Bridge,Stuffed Pepper Sausage,lA6AVUayWzc,Standard,04:01,2.5,2.5,4/5 Mark Ruffalos,4.0
233,Trail Mix,4/5,0.5,0,- No Song -,Trail Mix Sausage,nEicHsyx-BI,YouTube Comments Suggestions,01:01,4,4.0,0.5/5 Mark Ruffalos,0.5
234,French toast,4/5,0.5,1,The Beautiful People,French Toast Sausage,zdm4JbYOLJU,Standard,03:43,4,4.0,0.5/5 Mark Ruffalos,0.5
235,Fried Bologna Sandwich,5/5,1,1,Tubthumping,Fried Bologna Sandwich Sausage,amwyuDQFERg,Standard,04:25,5,5.0,1/5 Mark Ruffalos,1.0
236,Diet Coke and Mentos,0/5,Not Done,0,- No Song -,Diet Coke and Mentos Sausage,jUFVY-5T-ck,PoopTube Comments Suggestions,01:01,0,0.0,Not Done,
